"STATECODE","STATE","QUARTER","TAX_THOUSAND","INCREASING_YN"
"AZ","Arizona",25,1487000,0
"AZ","Arizona",26,2051000,1
"AZ","Arizona",27,1567000,0
"AZ","Arizona",28,1803000,1
"AZ","Arizona",29,1549000,0
"AZ","Arizona",30,2051000,1
"AZ","Arizona",31,1845000,0
"AZ","Arizona",32,1949000,1
"AZ","Arizona",33,1922000,0
"AZ","Arizona",34,2245000,1
"AZ","Arizona",35,2124000,0
"AZ","Arizona",36,2091000,0
"AZ","Arizona",37,1776000,0
"AZ","Arizona",38,2225000,1
"AZ","Arizona",39,2249000,1
"AZ","Arizona",40,2162000,0
"AZ","Arizona",41,1912000,0
"AZ","Arizona",42,2166000,1
"AZ","Arizona",43,2137000,0
"AZ","Arizona",44,2084000,0
"AZ","Arizona",45,2166000,1
"AZ","Arizona",46,2301000,1
"AZ","Arizona",47,2278000,0
"AZ","Arizona",48,2344000,1
"AZ","Arizona",49,2114000,0
"AZ","Arizona",50,2458000,1
"AZ","Arizona",51,2745000,1
"AZ","Arizona",52,2754000,1
"AZ","Arizona",53,2670000,0
"AZ","Arizona",54,2841000,1
"AZ","Arizona",55,2777000,0
"AZ","Arizona",56,2778000,1
"AZ","Arizona",57,2578000,0
"AZ","Arizona",58,3601000,1
"AZ","Arizona",59,2978000,0
"AZ","Arizona",60,3000000,1
"AZ","Arizona",61,2744000,0
"AZ","Arizona",62,3493000,1
"AZ","Arizona",63,3329000,0
"AZ","Arizona",64,3207000,0
"AZ","Arizona",65,2800000,0
"AZ","Arizona",66,3495000,1
"AZ","Arizona",67,3080000,0
"AZ","Arizona",68,2866000,0
"AZ","Arizona",69,2335000,0
"AZ","Arizona",70,2589000,1
"AZ","Arizona",71,2847000,1
"AZ","Arizona",72,2901000,1
"AZ","Arizona",73,2221000,0
"AZ","Arizona",74,2858000,1
"AZ","Arizona",75,2986000,1
"AZ","Arizona",76,2965000,0
"AZ","Arizona",77,2512000,0
"AZ","Arizona",78,3013000,1
"AZ","Arizona",79,2921000,0
"AZ","Arizona",80,2877000,0
"AZ","Arizona",81,2459000,0
"AZ","Arizona",82,3131000,1
"AZ","Arizona",83,3004000,0
"AZ","Arizona",84,2996000,0
"AZ","Arizona",85,2538000,0
"AZ","Arizona",86,3376000,1
"AZ","Arizona",87,3104000,0
"AZ","Arizona",88,3051000,0
"AZ","Arizona",89,2840000,0
"AZ","Arizona",90,3495000,1
"AZ","Arizona",91,3363000,0
"AZ","Arizona",92,3385000,1
"AZ","Arizona",93,3027000,0
"AZ","Arizona",94,3847000,1
"AZ","Arizona",95,3418000,0
"AZ","Arizona",96,3563000,1
"AZ","Arizona",97,3124000,0
"AZ","Arizona",98,4044000,1
"AZ","Arizona",99,3581000,0
"AZ","Arizona",100,3616000,1
"AZ","Arizona",101,3207000,0
"AZ","Arizona",102,4112000,1
"AZ","Arizona",103,3762000,0
"AZ","Arizona",104,3852000,1
"AZ","Arizona",105,3481000,0
"AZ","Arizona",106,4391000,1
"AZ","Arizona",107,4356000,0
"AZ","Arizona",108,3977000,0
"AZ","Arizona",109,3891000,0
"AZ","Arizona",110,5177000,1
"AZ","Arizona",111,4604000,0
"AZ","Arizona",112,4315000,0
"AZ","Arizona",113,3790000,0
"AZ","Arizona",114,4093000,1
"AZ","Arizona",115,5439000,1
"AZ","Arizona",116,4698000,0
"AZ","Arizona",117,4333000,0
"AZ","Arizona",118,6064000,1
"AZ","Arizona",119,5598000,0
"AR","Arkansas",9,782000,
"AR","Arkansas",10,847000,1
"AR","Arkansas",11,818000,0
"AR","Arkansas",12,771000,0
"AR","Arkansas",13,820000,1
"AR","Arkansas",14,903000,1
"AR","Arkansas",15,893000,0
"AR","Arkansas",16,910000,1
"AR","Arkansas",17,865000,0
"AR","Arkansas",18,975000,1
"AR","Arkansas",19,914000,0
"AR","Arkansas",20,835000,0
"AR","Arkansas",21,866000,1
"AR","Arkansas",22,1062000,1
"AR","Arkansas",23,943000,0
"AR","Arkansas",24,914000,0
"AR","Arkansas",25,954000,1
"AR","Arkansas",26,1153000,1
"AR","Arkansas",27,1030000,0
"AR","Arkansas",28,826000,0
"AR","Arkansas",29,950000,1
"AR","Arkansas",30,1157000,1
"AR","Arkansas",31,1099000,0
"AR","Arkansas",32,1254000,1
"AR","Arkansas",33,1136000,0
"AR","Arkansas",34,1229000,1
"AR","Arkansas",35,1164000,0
"AR","Arkansas",36,1303000,1
"AR","Arkansas",37,1062000,0
"AR","Arkansas",38,1383000,1
"AR","Arkansas",39,1267000,0
"AR","Arkansas",40,1386000,1
"AR","Arkansas",41,1078000,0
"AR","Arkansas",42,1453000,1
"AR","Arkansas",43,1296000,0
"AR","Arkansas",44,1379000,1
"AR","Arkansas",45,1057000,0
"AR","Arkansas",46,1413000,1
"AR","Arkansas",47,1284000,0
"AR","Arkansas",48,1487000,1
"AR","Arkansas",49,1151000,0
"AR","Arkansas",50,1659000,1
"AR","Arkansas",51,1529000,0
"AR","Arkansas",52,1732000,1
"AR","Arkansas",53,1409000,0
"AR","Arkansas",54,1901000,1
"AR","Arkansas",55,1640000,0
"AR","Arkansas",56,1853000,1
"AR","Arkansas",57,1509000,0
"AR","Arkansas",58,2032000,1
"AR","Arkansas",59,1763000,0
"AR","Arkansas",60,1935000,1
"AR","Arkansas",61,1534000,0
"AR","Arkansas",62,2188000,1
"AR","Arkansas",63,1782000,0
"AR","Arkansas",64,2000000,1
"AR","Arkansas",65,1554000,0
"AR","Arkansas",66,2207000,1
"AR","Arkansas",67,1842000,0
"AR","Arkansas",68,2033000,1
"AR","Arkansas",69,1495000,0
"AR","Arkansas",70,2103000,1
"AR","Arkansas",71,1763000,0
"AR","Arkansas",72,2109000,1
"AR","Arkansas",73,1537000,0
"AR","Arkansas",74,1849000,1
